uuid,image1_index,image2_index,pair_id,method,x1,y1,x2,y2,confidence,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
697e6f6c-a06a-4719-b187-3ef407d9d839,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,119.46903228759766,366.3717041015625,118.45553588867188,318.7079772949219,0.2045108824968338,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
90cb6347-2675-42a4-a227-cb8b71faa418,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,167.2566375732422,366.3717041015625,54.97151184082031,397.98187255859375,0.2043721228837967,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
5b595547-9a4a-4661-80da-e93bb1ff4194,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,159.2920379638672,541.5929565429688,49.041812896728516,572.1609497070312,0.2043679654598236,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
9195b1fd-2c7c-4386-8c0a-3589ac218aea,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,135.3982391357422,708.8495483398438,22.81966209411621,742.97998046875,0.20381015539169312,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
b5c26b60-3c96-4249-9afd-8386b0b80e2c,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,79.6460189819336,270.7964782714844,54.6074104309082,294.5303955078125,0.20380422472953796,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
727b7435-4791-4779-ae1e-e4d68108c8ee,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,103.53982543945312,278.7610778808594,79.9239501953125,302.8438415527344,0.20371010899543762,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
86c98632-cb75-4c40-a451-5f1ba462057d,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,167.2566375732422,310.6194763183594,55.96818542480469,343.6761474609375,0.20353494584560394,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
56ebb0da-3aef-4bc5-904a-dcd228282f2f,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,135.3982391357422,876.106201171875,62.83510971069336,874.9609375,0.20298343896865845,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
a71f92ab-4c16-477a-a3e7-4d6d19c3f4b4,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,127.43363189697266,119.46903228759766,86.45946502685547,175.05294799804688,0.20287169516086578,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
762e228c-2433-420f-b339-d957aecb7f9b,1,2,data/werdersee-batch2/image_0010_data/werdersee-batch2/image_0011,loftr,143.3628387451172,374.3363037109375,23.654987335205078,397.29248046875,0.20229074358940125,0.9344728631705841,-0.015551136944141005,121.11436442465921,121.11436442465921,0.021886087185086965,1.0049718331175892,-33.613741179781314,-33.613741179781314,4.0328278003391274e-05,2.5948044930478593e-06,1.0,1.0,0.0,0.0,0.0,1.0
